id,prompt,classification
473,"Develop a complex optimization model for portfolio management with constraints (variation 4)",heavy
474,"Design a complete IoT system architecture with edge computing and cloud integration (variation 12)",heavy
475,"Create a comprehensive cybersecurity audit report with vulnerability assessments (variation 12)",heavy
476,"Define 'cloud computing' briefly (variation 11)",light
477,"Develop a complete data warehouse design with ETL processes and reporting (variation 13)",heavy
478,"What does AI stand for? (variation 6)",light
479,"Design a complete disaster recovery plan with backup strategies and failover procedures (variation 3)",heavy
480,"What does URL stand for? (variation 5)",light
481,"Develop a complete machine learning pipeline with data preprocessing, model training, and evaluation (variation 7)",heavy
482,"How many minutes in 2 hours? (variation 2)",light
483,"Design and implement a full-stack web application with authentication, database integration, and API endpoints (variation 9)",heavy
484,"What color is a ruby? (variation 3)",light
485,"Develop a complete machine learning pipeline with data preprocessing, model training, and evaluation (variation 12)",heavy
486,"Define the word 'algorithm' (variation 11)",light
487,"What is 3/4 as a decimal? (variation 8)",light
488,"Design a complete IoT system architecture with edge computing and cloud integration (variation 7)",heavy
489,"How many months have 31 days? (variation 5)",light
490,"Generate a full content marketing strategy with persona development and journey mapping (variation 13)",heavy
491,"Design a complete database schema for an e-commerce platform with normalization (variation 6)",heavy
492,"Write a thorough code review of a large codebase with refactoring suggestions",heavy
493,"What is 3/4 as a decimal? (variation 2)",light
494,"Develop a sophisticated trading algorithm with backtesting on historical market data (variation 5)",heavy
495,"Name a renewable energy source (variation 9)",light
496,"Build a recommendation engine using deep learning on large-scale user data (variation 11)",heavy
497,"Explain photosynthesis in one sentence (variation 13)",light
498,"What is the freezing point of water in Celsius? (variation 2)",light
499,"Build an AI chatbot with context understanding and multi-turn conversations (variation 12)",heavy
500,"Name the four seasons (variation 13)",light
501,"What is 1000 divided by 4? (variation 8)",light
502,"Define 'variable' in programming (variation 12)",light
503,"What is the plural of 'mouse' (computer)? (variation 4)",light
504,"Build a recommendation engine using deep learning on large-scale user data (variation 13)",heavy
505,"Translate 'hello' to Spanish",light
506,"Generate a detailed feasibility study for a large infrastructure project (variation 9)",heavy
507,"Generate a comprehensive risk assessment for a major construction project (variation 9)",heavy
508,"Create a complete digital transformation roadmap for an enterprise organization (variation 9)",heavy
509,"What is 100 minus 37? (variation 13)",light
510,"Write a comprehensive 5000-word research paper on quantum computing applications in cryptography (variation 2)",heavy
511,"Define the word 'algorithm' (variation 13)",light
512,"Write a comprehensive 5000-word research paper on quantum computing applications in cryptography (variation 12)",heavy
513,"What is 7 multiplied by 8? (variation 9)",light
514,"Name a renewable energy source (variation 5)",light
515,"Create a full UI/UX design system with components, patterns, and design tokens (variation 2)",heavy
516,"Define 'cloud computing' briefly (variation 7)",light
517,"Name a major ocean (variation 11)",light
518,"Generate a comprehensive risk assessment for a major construction project (variation 8)",heavy
519,"Design and implement a full-stack web application with authentication, database integration, and API endpoints (variation 5)",heavy
520,"What is 3/4 as a decimal? (variation 11)",light
521,"Name the four seasons (variation 12)",light
522,"What is the smallest prime number? (variation 6)",light
523,"Design an enterprise-level microservices architecture with deployment strategies (variation 8)",heavy
524,"Design an enterprise-level microservices architecture with deployment strategies (variation 10)",heavy
525,"What is 3/4 as a decimal? (variation 3)",light
526,"What is the square root of 144? (variation 13)",light
527,"What is 1000 divided by 4? (variation 6)",light
528,"Write a thorough code review of a large codebase with refactoring suggestions (variation 7)",heavy
529,"Create a detailed implementation plan for blockchain technology in supply chain (variation 6)",heavy
530,"Design a comprehensive data governance framework with policies and procedures (variation 4)",heavy
531,"Design a complete IoT system architecture with edge computing and cloud integration (variation 2)",heavy
532,"Generate a complete novel outline with character development, plot arcs, and world-building details (variation 7)",heavy
533,"Write a detailed technical specification for a large-scale software project (variation 3)",heavy
534,"What does HTTP stand for? (variation 11)",light
535,"What does RAM stand for? (variation 9)",light
536,"What is the capital of Japan? (variation 5)",light
537,"Spell 'accommodate' (variation 4)",light
538,"How many minutes in 2 hours? (variation 9)",light
539,"Develop a sophisticated trading algorithm with backtesting on historical market data (variation 6)",heavy
540,"What does AI stand for? (variation 9)",light
541,"What is the smallest prime number? (variation 9)",light
542,"Create a comprehensive curriculum for a 6-month coding bootcamp with daily lesson plans (variation 8)",heavy
543,"Write an extensive grant proposal for scientific research with methodology and budget (variation 8)",heavy
544,"Name three primary colors (variation 6)",light
545,"Generate a comprehensive employee training program with assessments and certifications (variation 2)",heavy
546,"Write a detailed technical specification for a large-scale software project (variation 10)",heavy
547,"Analyze a large dataset of customer transactions and provide actionable insights with visualizations",heavy
548,"What is the capital of France? (variation 2)",light
549,"Build a natural language processing model for sentiment analysis on social media data (variation 3)",heavy
550,"Name the largest planet in our solar system (variation 8)",light
551,"What is 1000 divided by 4? (variation 4)",light
552,"Develop a full project management plan with Gantt charts, resource allocation, and risk analysis (variation 8)",heavy
553,"Develop a sophisticated fraud detection system using anomaly detection algorithms (variation 6)",heavy
554,"Name a programming language (variation 11)",light
555,"Develop a detailed marketing strategy including SEO, content calendar, and multi-channel campaigns",heavy
556,"Build an AI chatbot with context understanding and multi-turn conversations (variation 8)",heavy
557,"Convert 100 degrees Fahrenheit to Celsius (variation 12)",light
558,"What is the atomic number of carbon? (variation 2)",light
559,"Design a complete disaster recovery plan with backup strategies and failover procedures (variation 2)",heavy
560,"Name three primary colors (variation 11)",light
561,"Define 'variable' in programming (variation 13)",light
562,"Name a type of loop in programming (variation 8)",light
563,"Build a recommendation engine using deep learning on large-scale user data (variation 9)",heavy
564,"Develop a complex simulation model for epidemic spread across populations (variation 10)",heavy
565,"Name a type of loop in programming (variation 10)",light
566,"Write an extensive technical documentation for a software system with architecture diagrams (variation 13)",heavy
567,"What is the chemical symbol for gold?",light
568,"Build a recommendation system using collaborative filtering on user behavior data (variation 6)",heavy
569,"Design a comprehensive data governance framework with policies and procedures (variation 7)",heavy
570,"Write an extensive grant proposal for scientific research with methodology and budget (variation 13)",heavy
571,"Create a full UI/UX design system with components, patterns, and design tokens (variation 10)",heavy
572,"Define 'database' in simple terms (variation 5)",light
573,"Create an extensive troubleshooting guide for a complex enterprise software system (variation 11)",heavy
574,"Create an extensive troubleshooting guide for a complex enterprise software system (variation 7)",heavy
575,"Name a programming language (variation 8)",light
576,"Design a distributed system architecture for handling millions of concurrent users (variation 11)",heavy
577,"Develop a sophisticated trading algorithm with backtesting on historical market data (variation 7)",heavy
578,"Develop a sophisticated fraud detection system using anomaly detection algorithms (variation 3)",heavy
579,"Generate a comprehensive legal contract with all clauses, terms, and conditions (variation 13)",heavy
580,"Develop a complex simulation model for epidemic spread across populations (variation 12)",heavy
581,"How many sides does a hexagon have? (variation 2)",light
582,"Write a comprehensive 5000-word research paper on quantum computing applications in cryptography (variation 10)",heavy
583,"What is the atomic number of carbon? (variation 10)",light
584,"Design and implement a full-stack web application with authentication, database integration, and API endpoints (variation 7)",heavy
585,"Create a complete digital transformation roadmap for an enterprise organization (variation 11)",heavy
586,"Create a complete game design document including mechanics, storyline, and level designs (variation 6)",heavy
587,"Develop a complex optimization model for portfolio management with constraints (variation 11)",heavy
588,"Create a comprehensive SEO strategy with keyword research and content optimization (variation 11)",heavy
589,"What does HTTP stand for? (variation 13)",light
590,"What is 3/4 as a decimal? (variation 7)",light
591,"Name the four seasons (variation 10)",light
592,"What is the atomic number of carbon? (variation 5)",light
593,"Build a recommendation system using collaborative filtering on user behavior data (variation 4)",heavy
594,"Name the largest planet in our solar system (variation 6)",light
595,"Create a full UI/UX design system with components, patterns, and design tokens (variation 8)",heavy
596,"Name a type of loop in programming",light
597,"Name three primary colors (variation 9)",light
598,"How many sides does a hexagon have? (variation 5)",light
599,"What color is a ruby? (variation 5)",light
600,"Generate a full content marketing strategy with persona development and journey mapping (variation 10)",heavy
601,"Develop a sophisticated trading algorithm with backtesting on historical market data (variation 2)",heavy
602,"Build a computer vision system for object detection and tracking in videos (variation 2)",heavy
603,"Build a natural language processing model for sentiment analysis on social media data (variation 10)",heavy
604,"What is the capital of France? (variation 5)",light
605,"What is 3/4 as a decimal? (variation 12)",light
606,"Who wrote Romeo and Juliet? (variation 7)",light
607,"Design an enterprise-level microservices architecture with deployment strategies (variation 11)",heavy
608,"What does AI stand for? (variation 3)",light
609,"Build a recommendation engine using deep learning on large-scale user data (variation 2)",heavy
610,"What is the capital of Japan? (variation 6)",light
611,"Develop a complete machine learning pipeline with data preprocessing, model training, and evaluation (variation 9)",heavy
612,"Develop a complete data warehouse design with ETL processes and reporting (variation 4)",heavy
613,"Develop a complete data warehouse design with ETL processes and reporting (variation 8)",heavy
614,"Translate 'hello' to Spanish (variation 4)",light
615,"Write an extensive grant proposal for scientific research with methodology and budget",heavy
616,"Build a complex algorithm to optimize supply chain logistics across multiple warehouses (variation 11)",heavy
617,"How many minutes in 2 hours? (variation 8)",light
618,"Generate a comprehensive employee training program with assessments and certifications (variation 11)",heavy
619,"What year did World War II end? (variation 5)",light
620,"Build a recommendation engine using deep learning on large-scale user data (variation 4)",heavy
621,"Write a detailed scientific literature review on climate change impacts with 50+ citations (variation 11)",heavy
622,"Write a complete screenplay for a feature film with dialogue and scene descriptions (variation 11)",heavy
623,"Develop a complete data warehouse design with ETL processes and reporting (variation 6)",heavy
624,"What does HTTP stand for? (variation 8)",light
625,"What does HTTP stand for?",light
626,"What is the capital of Japan? (variation 9)",light
627,"What color do you get mixing blue and yellow? (variation 9)",light
628,"Create a comprehensive SEO strategy with keyword research and content optimization (variation 13)",heavy
629,"What does URL stand for? (variation 4)",light
630,"How many sides does a hexagon have? (variation 12)",light
631,"Create a comprehensive cybersecurity audit report with vulnerability assessments (variation 5)",heavy
632,"Write an extensive technical documentation for a software system with architecture diagrams",heavy
633,"What is the freezing point of water in Celsius? (variation 4)",light
634,"Write a complete screenplay for a feature film with dialogue and scene descriptions (variation 9)",heavy
635,"Name a programming language (variation 12)",light
636,"Create a complete digital transformation roadmap for an enterprise organization (variation 5)",heavy
637,"Write a thorough code review of a large codebase with refactoring suggestions (variation 8)",heavy
638,"Analyze a large dataset of customer transactions and provide actionable insights with visualizations (variation 7)",heavy
639,"Create a comprehensive cybersecurity audit report with vulnerability assessments (variation 10)",heavy
640,"Define 'machine learning' briefly (variation 3)",light
641,"What is 1000 divided by 4? (variation 13)",light
642,"How many minutes in 2 hours? (variation 3)",light
643,"How many continents are there? (variation 5)",light
644,"Define the word 'algorithm' (variation 2)",light
645,"Define 'cloud computing' briefly (variation 2)",light
646,"What does HTTP stand for? (variation 5)",light
647,"Name a social media platform (variation 4)",light
648,"What is the plural of 'mouse' (computer)? (variation 8)",light
649,"Define 'variable' in programming (variation 6)",light
650,"Name a programming paradigm",light
651,"Develop a complex optimization model for portfolio management with constraints (variation 5)",heavy
652,"Convert 100 degrees Fahrenheit to Celsius (variation 11)",light
653,"Create a comprehensive SEO strategy with keyword research and content optimization (variation 3)",heavy
654,"How many hours are in a day?",light
655,"Name the largest planet in our solar system (variation 2)",light
656,"Generate a comprehensive risk assessment for a major construction project (variation 5)",heavy
657,"What is 1000 divided by 4? (variation 10)",light
658,"How many minutes in 2 hours? (variation 5)",light
659,"What is the square root of 144? (variation 3)",light
660,"Design a complete database schema for an e-commerce platform with normalization (variation 3)",heavy
661,"What does RAM stand for? (variation 4)",light
662,"Create an extensive troubleshooting guide for a complex enterprise software system (variation 13)",heavy
663,"Design and implement a full-stack web application with authentication, database integration, and API endpoints (variation 8)",heavy
664,"Write a thorough code review of a large codebase with refactoring suggestions (variation 11)",heavy
665,"Define 'machine learning' briefly (variation 10)",light
666,"Who wrote Romeo and Juliet? (variation 10)",light
667,"Create a complete game design document including mechanics, storyline, and level designs (variation 9)",heavy
668,"Develop a full project management plan with Gantt charts, resource allocation, and risk analysis (variation 13)",heavy
669,"Create a detailed business plan for a tech startup including market analysis, financial projections, and competitor research (variation 13)",heavy
670,"Create a comprehensive SEO strategy with keyword research and content optimization (variation 9)",heavy
671,"Build a complex algorithm to optimize supply chain logistics across multiple warehouses (variation 7)",heavy
672,"Develop a complete data warehouse design with ETL processes and reporting (variation 12)",heavy
673,"Develop a sophisticated trading algorithm with backtesting on historical market data (variation 3)",heavy
674,"Define 'database' in simple terms (variation 11)",light
675,"Design a complete IoT system architecture with edge computing and cloud integration (variation 10)",heavy
676,"What is the smallest prime number? (variation 3)",light
677,"What is 100 minus 37? (variation 5)",light
678,"Name three primary colors (variation 8)",light
679,"What is 15% of 200? (variation 4)",light
680,"Develop a complex optimization model for portfolio management with constraints (variation 13)",heavy
681,"Name a renewable energy source (variation 11)",light
682,"What is the speed of light?",light
683,"Write a detailed technical specification for a large-scale software project (variation 13)",heavy
684,"Name a type of loop in programming (variation 9)",light
685,"Name the largest planet in our solar system (variation 3)",light
686,"Name a type of loop in programming (variation 2)",light
687,"How many minutes in 2 hours? (variation 7)",light
688,"Name a programming paradigm (variation 2)",light
689,"Design a comprehensive data governance framework with policies and procedures (variation 12)",heavy
690,"Name a programming paradigm (variation 4)",light
691,"What is 15% of 200? (variation 2)",light
692,"Name a social media platform (variation 5)",light
693,"Build a computer vision system for object detection and tracking in videos (variation 9)",heavy
694,"What is the chemical symbol for gold? (variation 6)",light
695,"Define the word 'algorithm' (variation 6)",light
696,"What is the boiling point of water? (variation 3)",light
697,"Create a complete game design document including mechanics, storyline, and level designs (variation 3)",heavy
698,"Write an extensive comparative market analysis across multiple geographic regions (variation 5)",heavy
699,"Write a complete screenplay for a feature film with dialogue and scene descriptions",heavy
700,"What does URL stand for? (variation 3)",light
701,"Write a thorough code review of a large codebase with refactoring suggestions (variation 13)",heavy
702,"What is 3/4 as a decimal? (variation 4)",light
703,"Design a complete disaster recovery plan with backup strategies and failover procedures (variation 12)",heavy
704,"Define 'cloud computing' briefly (variation 12)",light
705,"What does URL stand for? (variation 10)",light
706,"Write a complete screenplay for a feature film with dialogue and scene descriptions (variation 4)",heavy
707,"Perform a deep financial analysis of a company's last 5 years with ratio analysis and forecasting (variation 9)",heavy
708,"Build a computer vision system for object detection and tracking in videos (variation 11)",heavy
709,"Name a web browser (variation 11)",light
710,"Develop a complex optimization model for portfolio management with constraints (variation 10)",heavy
711,"What does PDF stand for? (variation 9)",light
712,"What is 7 multiplied by 8? (variation 13)",light
713,"Develop a complete machine learning pipeline with data preprocessing, model training, and evaluation (variation 5)",heavy
714,"How many sides does a hexagon have? (variation 6)",light
715,"Develop a sophisticated fraud detection system using anomaly detection algorithms (variation 12)",heavy
716,"Design a comprehensive data governance framework with policies and procedures",heavy
717,"Create a detailed implementation plan for blockchain technology in supply chain (variation 11)",heavy
718,"Generate a comprehensive legal contract with all clauses, terms, and conditions (variation 9)",heavy
719,"Write an extensive grant proposal for scientific research with methodology and budget (variation 9)",heavy
720,"What does RAM stand for? (variation 5)",light
721,"Design a neural network architecture for image classification with hyperparameter tuning (variation 11)",heavy
722,"Who wrote Romeo and Juliet? (variation 5)",light
723,"Spell 'accommodate' (variation 11)",light
724,"Name a social media platform (variation 2)",light
725,"Create a comprehensive SEO strategy with keyword research and content optimization (variation 2)",heavy
726,"Create a comprehensive cybersecurity audit report with vulnerability assessments (variation 6)",heavy
727,"Spell 'accommodate' (variation 8)",light
728,"Create a full UI/UX design system with components, patterns, and design tokens (variation 5)",heavy
729,"Build a natural language processing model for sentiment analysis on social media data (variation 8)",heavy
730,"Design a complete disaster recovery plan with backup strategies and failover procedures (variation 11)",heavy
731,"Design a complete IoT system architecture with edge computing and cloud integration (variation 6)",heavy
732,"Develop a complete machine learning pipeline with data preprocessing, model training, and evaluation (variation 8)",heavy
733,"What is 7 multiplied by 8? (variation 6)",light
734,"Convert 100 degrees Fahrenheit to Celsius (variation 10)",light
735,"Build a recommendation engine using deep learning on large-scale user data (variation 5)",heavy
736,"What color do you get mixing blue and yellow? (variation 12)",light
737,"Design a complete disaster recovery plan with backup strategies and failover procedures (variation 7)",heavy
738,"What is the atomic number of carbon? (variation 3)",light
739,"What is 1000 divided by 4? (variation 9)",light
740,"Define the word 'algorithm' (variation 4)",light
741,"Develop a sophisticated trading algorithm with backtesting on historical market data (variation 8)",heavy
742,"Create a complex financial model for mergers and acquisitions valuation",heavy
743,"Generate a comprehensive risk assessment for a major construction project",heavy
744,"Write a complete screenplay for a feature film with dialogue and scene descriptions (variation 2)",heavy
745,"Build a complex algorithm to optimize supply chain logistics across multiple warehouses (variation 5)",heavy
746,"What is 100 minus 37? (variation 8)",light
747,"Explain photosynthesis in one sentence (variation 6)",light
748,"Build a complex algorithm to optimize supply chain logistics across multiple warehouses (variation 8)",heavy
749,"What is the plural of 'mouse' (computer)? (variation 12)",light
750,"What is 15% of 200? (variation 12)",light
751,"What is the speed of light? (variation 11)",light
752,"Define 'machine learning' briefly (variation 8)",light
753,"How many degrees in a right angle? (variation 11)",light
754,"Create a complete digital transformation roadmap for an enterprise organization (variation 10)",heavy
755,"Name a major ocean (variation 9)",light
756,"What is the boiling point of water? (variation 7)",light
757,"Name a web browser (variation 13)",light
758,"Write a comprehensive 5000-word research paper on quantum computing applications in cryptography (variation 8)",heavy
759,"Name a major ocean",light
760,"Perform a deep financial analysis of a company's last 5 years with ratio analysis and forecasting (variation 6)",heavy
761,"Write a comprehensive 5000-word research paper on quantum computing applications in cryptography (variation 5)",heavy
762,"What is 1000 divided by 4?",light
763,"Build a speech recognition system with accent adaptation and noise reduction (variation 2)",heavy
764,"Develop a detailed marketing strategy including SEO, content calendar, and multi-channel campaigns (variation 9)",heavy
765,"Design a distributed system architecture for handling millions of concurrent users (variation 12)",heavy
766,"Explain photosynthesis in one sentence (variation 7)",light
767,"What is 15% of 200? (variation 3)",light
768,"Name a renewable energy source (variation 8)",light
769,"Analyze a large dataset of customer transactions and provide actionable insights with visualizations (variation 3)",heavy
770,"Create an extensive troubleshooting guide for a complex enterprise software system (variation 2)",heavy
771,"What does RAM stand for? (variation 10)",light
772,"How many sides does a hexagon have? (variation 11)",light
773,"Name the largest planet in our solar system (variation 4)",light
774,"What is the boiling point of water? (variation 6)",light
775,"What does PDF stand for? (variation 10)",light
776,"Develop a detailed marketing strategy including SEO, content calendar, and multi-channel campaigns (variation 12)",heavy
777,"Build an AI chatbot with context understanding and multi-turn conversations (variation 7)",heavy
778,"Create a full UI/UX design system with components, patterns, and design tokens (variation 7)",heavy
779,"Create a complete game design document including mechanics, storyline, and level designs (variation 11)",heavy
780,"Define 'database' in simple terms (variation 2)",light
781,"Write a detailed scientific literature review on climate change impacts with 50+ citations (variation 5)",heavy
782,"Define the word 'algorithm'",light
783,"Create a detailed implementation plan for blockchain technology in supply chain (variation 13)",heavy
784,"What is the square root of 144? (variation 11)",light
785,"Generate a detailed feasibility study for a large infrastructure project (variation 4)",heavy
786,"What does AI stand for? (variation 8)",light
787,"What does URL stand for? (variation 6)",light
788,"Build a natural language processing model for sentiment analysis on social media data (variation 7)",heavy
789,"How many months have 31 days? (variation 6)",light
790,"Define 'variable' in programming (variation 11)",light
791,"What is the plural of 'mouse' (computer)? (variation 11)",light
792,"Generate a detailed comparative analysis of 10 different programming languages (variation 6)",heavy
793,"Convert 100 degrees Fahrenheit to Celsius",light
794,"Design a neural network architecture for image classification with hyperparameter tuning (variation 4)",heavy
795,"Design a complete database schema for an e-commerce platform with normalization (variation 13)",heavy
796,"Create an extensive troubleshooting guide for a complex enterprise software system (variation 8)",heavy
797,"Design and implement a full-stack web application with authentication, database integration, and API endpoints (variation 10)",heavy
798,"How many months have 31 days? (variation 9)",light
799,"Name the four seasons (variation 4)",light
800,"Create a detailed implementation plan for blockchain technology in supply chain",heavy
801,"What is the plural of 'mouse' (computer)? (variation 7)",light
802,"Convert 100 degrees Fahrenheit to Celsius (variation 13)",light
803,"How many degrees in a right angle? (variation 5)",light
804,"Create a detailed business plan for a tech startup including market analysis, financial projections, and competitor research (variation 6)",heavy
805,"What is 15% of 200? (variation 10)",light
806,"How many minutes in 2 hours? (variation 11)",light
807,"What is the square root of 144? (variation 5)",light
808,"Build a computer vision system for object detection and tracking in videos (variation 10)",heavy
809,"How many months have 31 days? (variation 8)",light
810,"Define 'cloud computing' briefly",light
811,"Design an enterprise-level microservices architecture with deployment strategies (variation 5)",heavy
812,"Perform a deep financial analysis of a company's last 5 years with ratio analysis and forecasting (variation 7)",heavy
813,"What is the speed of light? (variation 13)",light
814,"What is the atomic number of carbon? (variation 12)",light
815,"What is the freezing point of water in Celsius? (variation 10)",light
816,"What does RAM stand for? (variation 6)",light
817,"What is 1000 divided by 4? (variation 12)",light
818,"Spell 'accommodate' (variation 12)",light
819,"Design and implement a full-stack web application with authentication, database integration, and API endpoints (variation 3)",heavy
820,"Create an extensive troubleshooting guide for a complex enterprise software system (variation 4)",heavy
821,"Write an extensive technical documentation for a software system with architecture diagrams (variation 10)",heavy
822,"Write an extensive grant proposal for scientific research with methodology and budget (variation 11)",heavy
823,"What color do you get mixing blue and yellow? (variation 2)",light
824,"Generate a comprehensive legal contract with all clauses, terms, and conditions (variation 2)",heavy
825,"What is the speed of light? (variation 8)",light
826,"Write an extensive comparative market analysis across multiple geographic regions (variation 6)",heavy
827,"Generate a full content marketing strategy with persona development and journey mapping (variation 4)",heavy
828,"Write a complete screenplay for a feature film with dialogue and scene descriptions (variation 13)",heavy
829,"Write a thorough code review of a large codebase with refactoring suggestions (variation 5)",heavy
830,"What is the chemical symbol for gold? (variation 2)",light
831,"How many continents are there? (variation 10)",light
832,"Generate a complete novel outline with character development, plot arcs, and world-building details (variation 12)",heavy
833,"What is the atomic number of carbon? (variation 9)",light
834,"What does PDF stand for?",light
835,"Name a web browser (variation 4)",light
836,"Create a complex financial model for mergers and acquisitions valuation (variation 6)",heavy
837,"Design an enterprise-level microservices architecture with deployment strategies (variation 12)",heavy
838,"Create a complete game design document including mechanics, storyline, and level designs (variation 13)",heavy
839,"How many sides does a hexagon have? (variation 3)",light
840,"Write an extensive technical documentation for a software system with architecture diagrams (variation 9)",heavy
841,"Analyze a large dataset of customer transactions and provide actionable insights with visualizations (variation 10)",heavy
842,"Design a complete database schema for an e-commerce platform with normalization (variation 4)",heavy
843,"Name a programming paradigm (variation 13)",light
844,"Name a type of loop in programming (variation 7)",light
845,"Name the largest planet in our solar system (variation 12)",light
846,"Design a comprehensive data governance framework with policies and procedures (variation 13)",heavy
847,"What is 25 squared? (variation 2)",light
848,"Develop a complete machine learning pipeline with data preprocessing, model training, and evaluation (variation 6)",heavy
849,"What color is a ruby? (variation 8)",light
850,"Write a thorough code review of a large codebase with refactoring suggestions (variation 2)",heavy
851,"Build an AI chatbot with context understanding and multi-turn conversations (variation 3)",heavy
852,"Write an extensive technical documentation for a software system with architecture diagrams (variation 2)",heavy
853,"What is 1000 divided by 4? (variation 7)",light
854,"Write an extensive grant proposal for scientific research with methodology and budget (variation 5)",heavy
855,"Design a complete database schema for an e-commerce platform with normalization (variation 2)",heavy
856,"Write a comprehensive 5000-word research paper on quantum computing applications in cryptography (variation 4)",heavy
857,"Define the word 'algorithm' (variation 7)",light
858,"Explain photosynthesis in one sentence (variation 12)",light
859,"How many degrees in a right angle? (variation 13)",light
860,"Generate a detailed feasibility study for a large infrastructure project (variation 3)",heavy
861,"Develop a sophisticated fraud detection system using anomaly detection algorithms (variation 7)",heavy
862,"What color is a ruby? (variation 13)",light
863,"Design a complete IoT system architecture with edge computing and cloud integration (variation 4)",heavy
864,"Translate 'hello' to Spanish (variation 8)",light
865,"Create a detailed business plan for a tech startup including market analysis, financial projections, and competitor research (variation 3)",heavy
866,"Write a complete screenplay for a feature film with dialogue and scene descriptions (variation 6)",heavy
867,"What color is a ruby? (variation 10)",light
868,"What is 25 squared? (variation 9)",light
869,"Design and implement a full-stack web application with authentication, database integration, and API endpoints (variation 13)",heavy
870,"Create a complete game design document including mechanics, storyline, and level designs (variation 4)",heavy
871,"Develop a sophisticated trading algorithm with backtesting on historical market data (variation 4)",heavy
872,"Develop a complete data warehouse design with ETL processes and reporting (variation 3)",heavy
873,"Build a recommendation engine using deep learning on large-scale user data (variation 6)",heavy
874,"What is the capital of Japan? (variation 7)",light
875,"Build a speech recognition system with accent adaptation and noise reduction (variation 12)",heavy
876,"Define 'cloud computing' briefly (variation 13)",light
877,"Design a neural network architecture for image classification with hyperparameter tuning (variation 5)",heavy
878,"Name the largest planet in our solar system (variation 11)",light
879,"Develop a detailed marketing strategy including SEO, content calendar, and multi-channel campaigns (variation 2)",heavy
880,"Generate a complete novel outline with character development, plot arcs, and world-building details (variation 5)",heavy
881,"Build a complex algorithm to optimize supply chain logistics across multiple warehouses (variation 6)",heavy
882,"What is 3/4 as a decimal? (variation 5)",light
883,"Write a detailed scientific literature review on climate change impacts with 50+ citations (variation 6)",heavy
884,"What is the capital of France? (variation 9)",light
885,"Define 'machine learning' briefly (variation 12)",light
886,"Develop a complex optimization model for portfolio management with constraints (variation 9)",heavy
887,"Generate a full content marketing strategy with persona development and journey mapping (variation 7)",heavy
888,"What is the smallest prime number? (variation 10)",light
889,"Generate a complete novel outline with character development, plot arcs, and world-building details (variation 3)",heavy
890,"What is the smallest prime number? (variation 12)",light
891,"Build a recommendation system using collaborative filtering on user behavior data (variation 9)",heavy
892,"Create a detailed business plan for a tech startup including market analysis, financial projections, and competitor research (variation 12)",heavy
893,"What is the speed of light? (variation 10)",light
894,"How many continents are there? (variation 7)",light
895,"What is 25 squared? (variation 5)",light
896,"Define 'variable' in programming (variation 10)",light
897,"Build a computer vision system for object detection and tracking in videos (variation 13)",heavy
898,"What is the chemical symbol for gold? (variation 5)",light
899,"What is 7 multiplied by 8? (variation 2)",light
900,"Write a complete screenplay for a feature film with dialogue and scene descriptions (variation 10)",heavy
901,"Generate a comprehensive legal contract with all clauses, terms, and conditions (variation 8)",heavy
902,"Define 'variable' in programming",light
903,"Write a complete screenplay for a feature film with dialogue and scene descriptions (variation 12)",heavy
904,"What is the boiling point of water? (variation 4)",light
905,"How many hours are in a day? (variation 13)",light
906,"What is the chemical symbol for gold? (variation 4)",light
907,"Write a detailed scientific literature review on climate change impacts with 50+ citations (variation 10)",heavy
908,"Build an AI chatbot with context understanding and multi-turn conversations (variation 10)",heavy
909,"Generate a comprehensive employee training program with assessments and certifications (variation 9)",heavy
910,"Write a thorough code review of a large codebase with refactoring suggestions (variation 6)",heavy
911,"Name a programming paradigm (variation 12)",light
912,"Perform a deep financial analysis of a company's last 5 years with ratio analysis and forecasting (variation 5)",heavy
913,"What does RAM stand for? (variation 8)",light
914,"How many degrees in a right angle? (variation 9)",light
915,"Generate a detailed comparative analysis of 10 different programming languages (variation 9)",heavy
916,"What does AI stand for? (variation 13)",light
917,"Create a comprehensive SEO strategy with keyword research and content optimization (variation 6)",heavy
918,"What color is a ruby? (variation 12)",light
919,"What does RAM stand for? (variation 3)",light
920,"What is the square root of 144? (variation 6)",light
921,"Generate a comprehensive legal contract with all clauses, terms, and conditions (variation 3)",heavy
922,"Define 'variable' in programming (variation 3)",light
923,"What is 15% of 200?",light
924,"What is the square root of 144? (variation 4)",light
925,"Name the four seasons (variation 2)",light
926,"Perform a deep financial analysis of a company's last 5 years with ratio analysis and forecasting (variation 10)",heavy
927,"Create a comprehensive curriculum for a 6-month coding bootcamp with daily lesson plans (variation 9)",heavy
928,"Name a programming language (variation 7)",light
929,"What is the boiling point of water? (variation 8)",light
930,"What is 100 minus 37? (variation 3)",light
931,"Explain photosynthesis in one sentence (variation 11)",light
932,"Translate 'hello' to Spanish (variation 3)",light
933,"Develop a sophisticated fraud detection system using anomaly detection algorithms (variation 11)",heavy
934,"Generate a detailed comparative analysis of 10 different programming languages (variation 3)",heavy
935,"Design a neural network architecture for image classification with hyperparameter tuning (variation 10)",heavy
936,"How many continents are there? (variation 11)",light
937,"What is the plural of 'mouse' (computer)? (variation 10)",light
938,"How many continents are there? (variation 6)",light
939,"What is the boiling point of water? (variation 11)",light
940,"What is 100 minus 37? (variation 4)",light
